pid,image,session_id,parent_id,command_line,start_s,end_s,duration_s,first_io_s,first_image_s
14984,msedgewebview2.exe,1,13084,"""C:\Program Files (x86)\Microsoft\EdgeWebView\Application\145.0.3800.70\msedgewebview2.exe"" --embedded-browser-webview=1 --webview-exe-name=SearchHost.exe --webview-exe-version=2125.34901.0.0 --user-data-dir=""C:\Users\zomhecke\AppData\Local\Packages\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\LocalState\EBWebView"" --noerrdialogs --disable-features=msSmartScreenProtection --edge-webview-enable-mojo-ipcz --enable-features=msEdgeFluentOverlayScrollbar --user-agent=""Mozilla/5.0 (Windows NT 10.0; Win64; x64; Cortana 1.18.9.23723; 10.0.0.0.26100.7840) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36 Edge/18.26100 IsWebView2/True (WebView2Version 145.0.3800.70)"" --lang=de-DE --mojo-named-platform-channel-pipe=13084.14936.12304269673010219609 /pfhostedapp:41f2faf693b8409358a7c65dd08a63555da9ce50",64.94323519999999,97.94585579999999,33.0026206,67.3448815,
15008,svchost.exe,0,1264,C:\WINDOWS\System32\svchost.exe -k LocalServiceNetworkRestricted -s RmSvc,65.0371067,163.54489850000002,98.50779180000002,65.74851179999999,
15084,MpCmdRun.exe,0,7140,"""C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.26010.5-0\MpCmdRun.exe"" -RasConnectionNotification",65.266134,67.30409449999999,2.037960499999997,67.2830582,
15112,conhost.exe,0,14960,\??\C:\WINDOWS\system32\conhost.exe 0xffffffff -ForceV1,65.34655989999999,67.18818239999999,1.8416224999999997,,
15224,conhost.exe,0,15084,\??\C:\WINDOWS\system32\conhost.exe 0xffffffff -ForceV1,65.9051963,67.3680902,1.4628938999999974,,
15284,SenseDlpProcessor.exe,0,7028,-,66.1007356,163.5458927,97.4451571,66.6297716,
15296,netsh.exe,0,10616,"""C:\WINDOWS\system32\netsh.exe"" interface ipv6 set prefixpolicy ::ffff:0:0/96 46 4 active",66.1200956,68.3653372,2.2452416,,
13396,conhost.exe,0,15296,\??\C:\WINDOWS\system32\conhost.exe 0xffffffff -ForceV1,66.99204309999999,68.5312326,1.5391895000000062,,
13412,MicrosoftEdgeUpdate.exe,0,12488,"""C:\Program Files (x86)\Microsoft\EdgeUpdate\MicrosoftEdgeUpdate.exe"" /ua /installsource core",67.14163359999999,69.1787658,2.037132200000002,67.28748569999999,
13236,msedgewebview2.exe,1,14984,"""C:\Program Files (x86)\Microsoft\EdgeWebView\Application\145.0.3800.70\msedgewebview2.exe"" --type=crashpad-handler --user-data-dir=C:\Users\zomhecke\AppData\Local\Packages\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\LocalState\EBWebView /prefetch:4 /pfhostedapp:41f2faf693b8409358a7c65dd08a63555da9ce50 --monitor-self-annotation=ptype=crashpad-handler --database=C:\Users\zomhecke\AppData\Local\Packages\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\LocalState\EBWebView\Crashpad --annotation=IsOfficialBuild=1 --annotation=channel= --annotation=chromium-version=145.0.7632.110 ""--annotation=exe=C:\Program Files (x86)\Microsoft\EdgeWebView\Application\145.0.3800.70\msedgewebview2.exe"" --annotation=plat=Win64 ""--annotation=prod=Edge WebView2"" --annotation=ver=145.0.3800.70 --initial-client-data=0x180,0x184,0x188,0x15c,0x190,0x7ffaecc80f18,0x7ffaecc80f24,0x7ffaecc80f30",67.7144635,97.6499451,29.935481600000003,69.30280429999999,
